product_id,detail_url,title,price,category,competitor,Hoogte armleuning,Afmetingen,Zithoogte,Zitdiepte,Ruimte,Materiaal,Garantie,Merk,Categorie,Productsoort,Herkomst,Productfamilie,Zitbreedte,Ontwerper,Stofsoorten,Dimtechniek,Snoerlengte (in cm),Waterdichtheid,Lichtrichting,Bediening,Dimbaar,Lichtbron,Plafondkapje,Aanbevolen lichtbron,Fitting,Opmerking,Soort lichtbron,Kleurtemperatuur,Energielabel,Stapelbaar tot,Stekker,Productiemethode
7327,https://www.flinders.nl/grossman-grasshopper-vloerlamp-gubi,Grossman Grasshopper vloerlamp,755,floor_lights,flinders,,(b) 43.5 x (d) 37.5 x (h) 125 cm,,,Alleen geschikt voor binnen,Chroom (metaal),1 jaar,Gubi,Vloerlampen,"Gubi lampen, Gubi vloerlampen",Denemarken,Gubi Grossman,,Greta Grossman,,,215,IP20 (Geen bescherming tegen water),Naar beneden,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,1 x E14 max 40W halo,E14 (kleine fitting),,Halogeenlamp,,,,,
14339,https://www.flinders.nl/zuiver-tripod-wood-vloerlamp,Tripod Wood vloerlamp,199,floor_lights,flinders,,,,,Alleen geschikt voor binnen,"Houtfineer, Metaal",1 jaar,Zuiver,Vloerlampen,"Zuiver vloerlampen, Zuiver lampen",Nederland,Zuiver Tripod,,,,,,IP20 (Geen bescherming tegen water),Naar boven en beneden,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,E27,E27 (grote fitting),,,,,,,
4784,https://www.flinders.nl/foscarini-birdie-vloerlamp-foscarini,Birdie Lettura vloerlamp met dimmer,"451,33",floor_lights,flinders,,,,,Alleen geschikt voor binnen,"PC (kunststof), Staal",2 jaar,Foscarini,Vloerlampen,"Foscarini vloerlampen, Foscarini buitenlampen",Italië,Foscarini Birdie,,"Ludovica,  Roberto Palomba",,,,IP20 (Geen bescherming tegen water),Alle richtingen,Dimmer op snoer,"Ja, via ingebouwde dimmer",Niet meegeleverd,,1 x E27 max 150W Halo (min. 40W ivm dimmer),E27 (grote fitting),,,,,,,
47798,https://www.flinders.nl/its-about-romi-biarritz-vloerlamp,Biarritz vloerlamp,255,floor_lights,flinders,,(b) 43.00 x (h) 143.00 cm,,,Alleen geschikt voor binnen,Ijzer,1 jaar,It's about Romi,Vloerlampen,It's about Romi lampen,Nederland,It's about Romi Biarritz,,,,,,,Naar beneden,Aan-/uitschakelaar op armatuur,Nee,Niet meegeleverd,,1 x E27,E27 (grote fitting),,,,,,,
59922,https://www.flinders.nl/zuiver-buckle-head-vloerlamp,Buckle Head vloerlamp,109,floor_lights,flinders,,(h) 150.00 x (Ø) 28.00 cm,,,Alleen geschikt voor binnen,"Metaal, PVC (kunststof)",1 jaar,Zuiver,Vloerlampen,"Zuiver vloerlampen, Zuiver lampen",Nederland,,,,,,,IP20 (Geen bescherming tegen water),Naar beneden,Aan-/uitschakelaar op snoer,,Niet meegeleverd,,"1x E27 Max 60W, Spaarlamp Max 20W, LED-lichtron Max 8W",,,,,,,,
9152,https://www.flinders.nl/lumina-flo-vloerlamp,Flo vloerlamp LED,"579,59",floor_lights,flinders,,,,,Alleen geschikt voor binnen,"Aluminium (metaal), Staal",1 jaar,Lumina,Vloerlampen,Lumina vloerlampen,Italië,Lumina Flo,,Foster + partners,,,,IP20 (Geen bescherming tegen water),Alle richtingen,Aan-/uitschakelaar op armatuur,Nee,Meegeleverd,,"1 x 6W LED. 
3000K-475lm
Ip 20",LED (geïntegreerd),Gericht licht met 300 graden draaibare kop. De (∅) van de voet is 23 cm. Twee standen lichtintensiteit.,,,,,,
4309,https://www.flinders.nl/fork-vloerlamp,Fork vloerlamp,"1.179,50",floor_lights,flinders,,,,,Alleen geschikt voor binnen,"Metaal, Stof",2 jaar,Diesel,Vloerlampen,Diesel vloerlampen,Italië,Diesel Fork,,,,,,IP20 (Geen bescherming tegen water),Alle richtingen,Dimmer op snoer,"Ja, via ingebouwde dimmer",Niet meegeleverd,,1 x R7s  max 120W,R7s,"De Fork vloerlamp heeft een grijs onderstel, tevens in ivoor verkrijgbaar.",,,,,,
44224,https://www.flinders.nl/tonone-bolt-2-arm-vloerlamp-side-fit,Bolt 2 arm vloerlamp,415,floor_lights,flinders,,(b) 30.00 x (d) 46.00 x (h) 125.00 cm,,,Alleen geschikt voor binnen,"Aluminium (metaal), Staal",1 jaar,Tonone,Vloerlampen,Tonone vloerlampen,Nederland,Tonone Bolt,,Anton de Groof,,,,IP20 (Geen bescherming tegen water),Naar beneden,Aan-/uitschakelaar op armatuur,Nee,Meegeleverd,,"1 x E27, 42 Watt, 630 lumen (halogeen)",E27 (grote fitting),Bij deze lamp zit een messing verstel sleutel.,Halogeenlamp,,D,,,
4297,https://www.flinders.nl/twiggy-terra,Twiggy vloerlamp,"1.326,16",floor_lights,flinders,,,,,Alleen geschikt voor binnen,Glasvezel,2 jaar,Foscarini,Vloerlampen,"Foscarini vloerlampen, Foscarini buitenlampen",Italië,,,Marc Sadler,,,330,IP20 (Geen bescherming tegen water),Naar boven en beneden,Dimmer op snoer,"Ja, via ingebouwde dimmer",Niet meegeleverd,,3 x E27 max 77W (min. totaal 100W ivm dimmer),E27 (grote fitting),,,,,,,
19195,https://www.flinders.nl/artemide-megaron-vloerlamp-led,Megaron Terra vloerlamp LED 3000K - zacht wit,1.030,floor_lights,flinders,,,,,Alleen geschikt voor binnen,Aluminium (metaal),5 jaar bij registratie,Artemide,Vloerlampen,"Artemide vloerlampen, Artemide buitenlampen",Italië,,,Gianfranco Frattini,,,,IP20 (Geen bescherming tegen water),Alle richtingen,Dimmer op armatuur,"Ja, via ingebouwde dimmer",Meegeleverd,,1 x LED 45W 3000K 4079lm,,,,3000K (helder wit),,,,
52889,https://www.flinders.nl/frandsen-ball-vloerlamp,Ball vloerlamp,196,floor_lights,flinders,,(h) 130.00 cm,,,Alleen geschikt voor binnen,Metaal,1 jaar,Frandsen,Vloerlampen,Frandsen vloerlampen,Denemarken,Frandsen Ball,,Benny Frandsen,,,250,IP20 (Geen bescherming tegen water),Naar beneden,Aan-/uitschakelaar op snoer,Nee,Niet meegeleverd,,E14 max. 25W,E14 (kleine fitting),,,,,,,
