product_id,detail_url,title,price,category,competitor,product_type,Ladehoogte (binnenkant),Lengte,Breedte,Hoogte,Ladebreedte (binnenkant),Ladediepte (binnenkant),Verhoogd hoofdeinde,Matraslengte,Matrasbreedte,description,Verhoogd voeteneinde,Vrije hoogte onder meubel,"Hoogte, 2 bedden",Diepte,Zitdiepte,Zithoogte,Hoogte armleuning,Hoogte inclusief rugkussens,Breedte armleuning,Zitbreedte,Hoogte rugleuning,Aantal zitplaatsen,Max. hoogte,Min. zithoogte,Max. zithoogte,Diameter,Hoogte lampenkap,Snoerlengte,Diameter lampenkap,Vermogen,Dikte,Aantal per verpakking,Diameter voet,Breedte lampenkap,Bedbreedte,Bedlengte,Lengte uitgeklapt,Breedte uitgeklapt,Min. diepte,Max. diepte,Diepe chaise longue,"Zitdiepte, chaise longue",Matrasdikte,Bedhoogte,Breedte rechts,Breedte links,Max. zitdiepte,Min. zitdiepte,Oppervlak,Min. poolhoogte,Min. oppervlakte,Min. lengte,Zitbreedte rechts,Zitbreedte links,Min. breedte,Max. breedte,"Zitbreedte, chaise longue",Min. hoogte,Lengte ketting,Diameter wandbevestiging,Verzinkingsdiameter,Max. diameter,Totale hoogte,Max. belasting/fauteuilonderstel,Max. belasting,Max. lengte,Inhoud
S09211395,https://www.ikea.com/nl/nl/catalog/products/S09211395/,,849,corner_sofa,ikea,"Hoekbank, 4-zits, Orrsta zwartblauw",,,,,,,,,,"Deze zitbank kan zo worden gevormd als je wilt, rekening houdend met de plaats die je ervoor hebt. Kies het aantal zitplaatsen de vorm en de functie. Bij gezinsuitbreiding of een groter huis kan je de bank ook uitbreiden en mee laten groeien.",,4 cm,,98 cm,55 cm,45 cm,65 cm,80 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,249 cm,249 cm,,,,,,,192 cm,192 cm,,,,,,,,,,,,,
S49211478,https://www.ikea.com/nl/nl/catalog/products/S49211478/,,919,corner_sofa,ikea,"Hoekbank, 5-zits, Orrsta zwartblauw",,,,,,,,,,"Deze zitbank kan zo worden gevormd als je wilt, rekening houdend met de plaats die je ervoor hebt. Kies het aantal zitplaatsen de vorm en de functie. Bij gezinsuitbreiding of een groter huis kan je de bank ook uitbreiden en mee laten groeien.",,4 cm,,98 cm,55 cm,45 cm,65 cm,80 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,319 cm,249 cm,,,,,,,262 cm,192 cm,,,,,,,,,,,,,
S39211389,https://www.ikea.com/nl/nl/catalog/products/S39211389/,,899,corner_sofa,ikea,"Hoekbank, 4-zits, Gunnared middengrijs",,,,,,,,,,"Deze zitbank kan zo worden gevormd als je wilt, rekening houdend met de plaats die je ervoor hebt. Kies het aantal zitplaatsen de vorm en de functie. Bij gezinsuitbreiding of een groter huis kan je de bank ook uitbreiden en mee laten groeien.",,4 cm,,98 cm,55 cm,45 cm,65 cm,80 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,249 cm,249 cm,,,,,,,192 cm,192 cm,,,,,,,,,,,,,
S29211506,https://www.ikea.com/nl/nl/catalog/products/S29211506/,,879,corner_sofa,ikea,"Hoekbank, 4-zits, met open eind, Gunnared donkergroen",,,,,,,,,,"Deze zitbank kan zo worden gevormd als je wilt, rekening houdend met de plaats die je ervoor hebt. Kies het aantal zitplaatsen de vorm en de functie. Bij gezinsuitbreiding of een groter huis kan je de bank ook uitbreiden en mee laten groeien.",,4 cm,,98 cm,55 cm,45 cm,65 cm,80 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,235 cm,249 cm,,,,,,,195 cm,192 cm,,,,,,,,,,,,,
S69211383,https://www.ikea.com/nl/nl/catalog/products/S69211383/,,899,corner_sofa,ikea,"Hoekbank, 4-zits, Gunnared donkergroen",,,,,,,,,,"Deze zitbank kan zo worden gevormd als je wilt, rekening houdend met de plaats die je ervoor hebt. Kies het aantal zitplaatsen de vorm en de functie. Bij gezinsuitbreiding of een groter huis kan je de bank ook uitbreiden en mee laten groeien.",,4 cm,,98 cm,55 cm,45 cm,65 cm,80 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,249 cm,249 cm,,,,,,,192 cm,192 cm,,,,,,,,,,,,,
S99192694,https://www.ikea.com/nl/nl/catalog/products/S99192694/,,1.599,corner_sofa,ikea,"Hoekbank 2+3, Flodafors beige",,,,,,,,,,Als gemaakt voor een gezellig filmavondje en tegelijkertijd een blikvanger in de kamer. We hebben geprobeerd overal aan te denken. Van het lekker grote zitkussen en de afgeronde armleuningen tot de zachte hoezen.,,15 cm,,106 cm,64 cm,48 cm,61 cm,88 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,310 cm,270 cm,,,,,,,271 cm,231 cm,,,,,,,,,,,,,
S49192700,https://www.ikea.com/nl/nl/catalog/products/S49192700/,,1.799,corner_sofa,ikea,"Hoekbank 2+3, Djuparp donkergrijs",,,,,,,,,,Als gemaakt voor een gezellig filmavondje en tegelijkertijd een blikvanger in de kamer. We hebben geprobeerd overal aan te denken. Van het lekker grote zitkussen en de afgeronde armleuningen tot de zachte hoezen.,,15 cm,,106 cm,64 cm,48 cm,61 cm,88 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,310 cm,270 cm,,,,,,,271 cm,231 cm,,,,,,,,,,,,,
S59211500,https://www.ikea.com/nl/nl/catalog/products/S59211500/,,879,corner_sofa,ikea,"Hoekbank, 4-zits, met open eind, Gunnared beige",,,,,,,,,,"Deze zitbank kan zo worden gevormd als je wilt, rekening houdend met de plaats die je ervoor hebt. Kies het aantal zitplaatsen de vorm en de functie. Bij gezinsuitbreiding of een groter huis kan je de bank ook uitbreiden en mee laten groeien.",,4 cm,,98 cm,55 cm,45 cm,65 cm,80 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,235 cm,249 cm,,,,,,,195 cm,192 cm,,,,,,,,,,,,,
S89211377,https://www.ikea.com/nl/nl/catalog/products/S89211377/,,899,corner_sofa,ikea,"Hoekbank, 4-zits, Gunnared beige",,,,,,,,,,"Deze zitbank kan zo worden gevormd als je wilt, rekening houdend met de plaats die je ervoor hebt. Kies het aantal zitplaatsen de vorm en de functie. Bij gezinsuitbreiding of een groter huis kan je de bank ook uitbreiden en mee laten groeien.",,4 cm,,98 cm,55 cm,45 cm,65 cm,80 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,249 cm,249 cm,,,,,,,192 cm,192 cm,,,,,,,,,,,,,
S39211493,https://www.ikea.com/nl/nl/catalog/products/S39211493/,,989,corner_sofa,ikea,"Hoekbank, 4-zits, met open eind, Farsta donkerbruin",,,,,,,,,,"Deze zitbank kan zo worden gevormd als je wilt, rekening houdend met de plaats die je ervoor hebt. Kies het aantal zitplaatsen de vorm en de functie. Bij gezinsuitbreiding of een groter huis kan je de bank ook uitbreiden en mee laten groeien.",,4 cm,,98 cm,55 cm,45 cm,65 cm,80 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,235 cm,249 cm,,,,,,,195 cm,192 cm,,,,,,,,,,,,,
