sku,product_id,detail_url,title,price,competitor,height,width,weight,packaging_dimensions,colour,materials
BENAVO010GRY-ME,24831,aveiro-bank-eiken-en-perzisch-grijs,"Aveiro bank, eiken en Perzisch grijs",29900,made,48,150,0,28.5 x 51 x 155cm,Wit,Hout
BENBERG12GRY-ME,36081,bergerac-opbergbank-steengrijs-met-contrastbies,"Bergerac opbergbank, steengrijs met contrastbies",24900,made,45,120,16.0000,122 x 42 x 48cm,Neutraal,
BENBERG21GRY-UK,38085,bergerac-opbergbank-steengrijs-met-contrastbies-1,"Bergerac opbergbank, steengrijs met contrastbies",29900,made,45,120,16.0000,122 x 42 x 48cm,Neutraal,Stof
BENBERG29GRY-UK,38563,bergerac-opbergbank-grafietgrijs,"Bergerac opbergbank, grafietgrijs",29900,made,43.5,119.5,17.5000,Parcel 1: H46 x W42 x L121cm ,Grijs,
BENBRB021GRY-UK,38742,bourbon-vintage-opbergbank-getaand-grijs-2,"Bourbon vintage opbergbank, getaand grijs",21900,made,50,110,17.0000,94 x 30 x 27cm,Grijs,
BENBRIT01ZJA-ME,11001,jack-opbergbank-met-zitkussen-union-jack,"Jack opbergbank met zitkussen, Union Jack",31900,made,45,120,24.0000,123 x 41 x 46 cm,Rood,
BENBRM007WHI-UK,11071,bramante-bank-wit,"Bramante bank, wit",14900,made,50,85,17.0000,102 x 47 x 22 cm,Wit,
BENBRM008GRY-UK,11076,bramante-bank-grijs,"Bramante bank, grijs",7900,made,50,85,17.0000,102 x 47 x 22 cm,Grijs,
BENBUC014BLA-UK,35396,buckley-bank-zwart,"Buckley bank, zwart",32900,made,44,180,23.0000,192 x 52 x 22cm,Zwart,
BENBUJ003BEI-ME,7022,bouji-voetenbank-biscuitbeige-en-vintage-bruin,"Bouji voetenbank, biscuitbeige en vintage bruin",18900,made,42,105,11.0000,107 x 51 x 26 cm,"Neutraal,Bruin",
BENBUJ012GRY-ME,36166,bouji-voetenbank-grafiet-en-leigrijs,"Bouji voetenbank, grafiet- en leigrijs",18900,made,42,105,11.0000,0,Grijs,
BENCAPR07GRY-ME,12007,capri-beklede-opbergbank-wolfgrijs,"Capri beklede opbergbank, wolfgrijs",34900,made,45,120,24.0000,123 x 41 x 46cm,Grijs,
BENCAPR08GRY-ME,13257,capri-beklede-opbergbank-etna-grijs,"Capri beklede opbergbank, Etna grijs",34900,made,45,120,24.0000,123 x 41 x 46cm,Grijs,
BENCAPR19BLU-ME,17182,capri-beklede-opbergbank-cambridge-blauw,"Capri beklede opbergbank, Cambridge blauw",27900,made,45,120,24.0000,123 x 41 x 46 cm,Bruin,
BENCAPR20BEI-ME,17187,capri-beklede-opbergbank-woestijnbeige,"Capri beklede opbergbank, woestijnbeige",27900,made,45,120,24.0000,123 x 41 x 46 cm,Bruin,
BENCAPR21GRY-ME,17192,capri-beklede-opbergbank-hoefijzergrijs,"Capri beklede opbergbank, hoefijzergrijs",27900,made,45,120,24.0000,123 x 41 x 46 cm,Bruin,
BENCASP01ZAS-UK,11432,casper-bank-wit-essenhout,"Casper bank, wit essenhout",16900,made,43,105,13.0000,112 x 40 x 50 cm,"Zwart,Licht hout",
BENCASP02GRE-UK,11437,casper-bank-granaatgroen,"Casper bank, granaatgroen",16900,made,43,105,13.0000,L112 x B40 x H50 cm,Turkoois,
